session,ccy,front,dte,dte_short,K,F,side_native,oi,c,p,seat,d_pct,dead,dOI_c,dOI_p,near,smile_resid,outcome,d_fwd_pct
2026-06-01,EUR,2026-07-02,31,0,1.175,1.1681,above,8308,3812,4496,1.0,0.5907,0,,,0,0.013,,1.525
2026-06-01,EUR,2026-07-02,31,0,1.17,1.1681,above,6027,3675,2352,1.0,0.1627,0,,,1,-0.009,AWAY,1.093
2026-06-01,EUR,2026-07-02,31,0,1.18,1.1681,above,5086,1762,3324,1.0,1.0187,0,,,0,-0.08,,1.9571
2026-06-01,GBP,2026-07-02,31,0,1.34,1.3454,below,3081,547,2534,1.0,-0.4014,0,,,1,-0.011,THROUGH,0.495
2026-06-01,GBP,2026-07-02,31,0,1.335,1.3454,below,1600,481,1119,1.0,-0.773,0,,,0,0.011,,0.12
2026-06-01,GBP,2026-07-02,31,0,1.325,1.3454,below,1297,4,1293,1.0,-1.5163,0,,,0,0.006,,-0.63
2026-06-01,JPY,2026-07-02,31,0,0.0063,0.0063125,below,6017,4457,1560,1.0,-0.198,0,,,1,-0.153,THROUGH,0.1829
2026-06-01,JPY,2026-07-02,31,0,0.00635,0.0063125,above,4495,2295,2200,1.0,0.5941,0,,,0,-0.134,,0.978
2026-06-01,JPY,2026-07-02,31,0,0.0064,0.0063125,above,4296,3575,721,1.0,1.3861,0,,,0,-0.08,,1.7731
2026-06-01,AUD,2026-07-02,31,0,0.78,0.7146,above,4017,4017,0,1.0,9.152,0,,,0,,,10.961
2026-06-01,AUD,2026-07-02,31,0,0.715,0.7146,above,2627,944,1683,1.0,0.056,0,,,1,-0.052,AWAY,1.7142
2026-06-01,AUD,2026-07-02,31,0,0.72,0.7146,above,1983,1689,294,1.0,0.7557,0,,,0,-0.009,,2.4255
2026-06-01,CAD,2026-07-02,31,0,0.78,0.72565,above,2125,2125,0,1.0,7.4898,0,,,0,,,8.4086
2026-06-01,CAD,2026-07-02,31,0,0.74,0.72565,above,1750,1745,5,1.0,1.9775,0,,,0,,,2.8492
2026-06-01,CAD,2026-07-02,31,0,0.735,0.72565,above,1088,1074,14,1.0,1.2885,0,,,0,-0.037,,2.1543
2026-06-01,CHF,2026-07-02,31,0,1.24,1.28595,below,520,0,520,1.0,-3.5732,0,,,0,0.103,,-2.0885
2026-06-01,CHF,2026-07-02,31,0,1.315,1.28595,above,327,237,90,1.0,2.259,0,,,0,-0.037,,3.8336
2026-06-01,CHF,2026-07-02,31,0,1.35,1.28595,above,246,246,0,1.0,4.9808,0,,,0,,,6.5972
2026-06-02,EUR,2026-07-02,30,0,1.175,1.16775,above,8309,3812,4497,1.0,0.6209,0,0,1,0,-0.074,,1.3368
