DATE,Y10_FIT,RNY10,TP10
20170131,2.7437,2.8941,-0.1504
20170228,2.7535,2.8613,-0.1078
20170331,2.7343,2.7856,-0.0512
20170430,2.6221,2.7162,-0.0942
20170531,2.4355,2.6262,-0.1907
20170630,2.6404,2.7573,-0.1169
20170731,2.6774,2.7588,-0.0813
20170831,2.7109,2.8183,-0.1075
20170930,2.8521,2.875,-0.0229
20171031,2.6776,2.7724,-0.0948
20171130,2.5112,2.6921,-0.1809
20171231,2.6558,2.8584,-0.2026
20180131,2.8145,2.8472,-0.0327
20180228,2.8127,2.897,-0.0843
20180331,2.6068,2.7825,-0.1757
20180430,2.7694,2.7951,-0.0257
20180531,2.668,2.795,-0.127
20180630,2.6357,2.7722,-0.1365
20180731,2.6497,2.8181,-0.1684
20180831,2.5216,2.7541,-0.2325
20180930,2.6739,2.8287,-0.1548
20181031,2.6348,2.7887,-0.1539
20181130,2.5908,2.7819,-0.1911
20181231,2.3277,2.6248,-0.2971
20190131,2.2404,2.6128,-0.3724
20190228,2.0956,2.532,-0.4364
20190331,1.7672,2.3068,-0.5396
20190430,1.7955,2.2821,-0.4866
20190531,1.4694,2.0555,-0.5862
20190630,1.3295,1.9289,-0.5994
20190731,1.1919,1.846,-0.6541
20190831,0.8962,1.7077,-0.8115
20190930,1.0273,1.8158,-0.7885
20191031,1.1442,1.8676,-0.7234
20191130,1.0503,1.7626,-0.7122
20191231,1.3604,1.9922,-0.6318
20200131,0.9618,1.7202,-0.7584
20200229,0.8201,1.6587,-0.8387
20200331,0.7786,1.7439,-0.9653
20200430,0.9091,1.7862,-0.8771
20200531,0.9005,1.8305,-0.93
20200630,0.8848,1.7849,-0.9001
20200731,0.8443,1.8015,-0.9573
20200831,1.0242,1.8664,-0.8422
20200930,0.8404,1.7842,-0.9438
20201031,0.8296,1.8063,-0.9766
20201130,0.908,1.8811,-0.9731
20201231,0.9994,1.8479,-0.8485
20210131,1.1265,1.9277,-0.8012
20210228,1.956,2.0629,-0.1069
20210331,1.8218,2.1279,-0.3061
20210430,1.7185,2.0404,-0.3219
20210531,1.6976,2.0165,-0.3189
20210630,1.5414,1.9043,-0.3629
20210731,1.1942,1.7741,-0.5799
20210831,1.1692,1.7562,-0.587
20210930,1.525,1.8713,-0.3463
20211031,2.1052,2.4261,-0.3209
20211130,1.7317,2.1312,-0.3995
20211231,1.7171,2.1325,-0.4154
20220131,1.9244,2.3536,-0.4292
20220228,2.1641,2.5316,-0.3676
20220331,2.8517,3.1458,-0.2941
20220430,3.1278,3.5626,-0.4349
20220531,3.3623,3.6586,-0.2963
20220630,3.6792,3.7273,-0.048
20220731,3.0871,3.3377,-0.2506
20220831,3.6153,3.7475,-0.1323
20220930,3.8975,3.8854,0.0121
20221031,3.7926,3.8728,-0.0801
20221130,3.5698,3.7483,-0.1785
20221231,4.1002,4.0354,0.0648
20230131,3.5861,3.6403,-0.0542
20230228,3.882,3.9152,-0.0332
20230331,3.3393,3.3502,-0.0108
20230430,3.3789,3.4562,-0.0773
20230531,3.6239,3.7133,-0.0894
20230630,4.0093,4.076,-0.0667
20230731,4.0477,4.0156,0.0321
20230831,4.0286,3.9482,0.0804
20230930,4.4768,4.2608,0.216
20231031,4.9118,4.5247,0.3871
20231130,4.4185,4.1667,0.2519
20231231,3.9667,3.7737,0.193
20240131,4.0214,3.7763,0.245
20240229,4.1548,3.8914,0.2634
20240331,3.9694,3.7899,0.1794
20240430,4.4233,4.1637,0.2596
20240531,4.4063,4.1626,0.2437
20240630,4.3031,4.1326,0.1705
20240731,4.113,3.8818,0.2312
20240831,3.9831,3.7111,0.2719
20240930,3.9913,3.6547,0.3366
20241031,4.4949,4.1075,0.3874
20241130,4.332,3.9945,0.3374
20241231,4.3707,3.9743,0.3964
20250131,4.4384,3.9941,0.4444
20250228,4.298,3.9139,0.3841
20250331,4.3975,3.9709,0.4266
20250430,4.1628,3.6987,0.4641
20250531,4.2646,3.8405,0.4241
20250630,4.1786,3.8291,0.3495
20250731,4.2768,3.9246,0.3522
20250831,4.2923,3.9595,0.3327
20250930,4.3222,4.0526,0.2696
20251031,4.297,4.0487,0.2483
20251130,4.5222,4.1987,0.3235
20251231,4.7409,4.4107,0.3302
20260131,4.7917,4.4656,0.3261
20260228,4.6421,4.3901,0.252
20260331,4.951,4.6835,0.2675
20260430,5.0354,4.7338,0.3016
20260531,4.8175,4.536,0.2815
