DATE,Y10_FIT,RNY10,TP10
20040930,4.0646,1.104,2.9606
20041031,3.9255,1.0473,2.8782
20041130,3.8222,1.0732,2.7489
20041231,3.7045,1.208,2.4965
20050131,3.5555,1.2639,2.2916
20050228,3.7104,1.276,2.4344
20050331,3.6539,1.2698,2.3841
20050430,3.4814,1.1734,2.308
20050531,3.3234,1.1881,2.1353
20050630,3.2001,1.1653,2.0348
20050731,3.2635,1.2628,2.0007
20050831,3.1341,1.3139,1.8203
20050930,3.1546,1.4481,1.7065
20051031,3.4051,1.5928,1.8123
20051130,3.4602,1.7409,1.7193
20051231,3.2066,1.8216,1.385
20060131,3.4715,1.837,1.6346
20060228,3.4814,1.8877,1.5937
20060331,3.7793,2.0013,1.778
20060430,3.9735,2.0144,1.9591
20060531,3.9649,1.9934,1.9715
20060630,4.0623,2.1026,1.9597
20060731,3.913,2.1122,1.8008
20060831,3.7436,2.2114,1.5323
20060930,3.6638,2.2915,1.3724
20061031,3.7218,2.3744,1.3473
20061130,3.664,2.3557,1.3083
20061231,3.912,2.4242,1.4878
20070131,4.0643,2.4197,1.6446
20070228,3.9187,2.3895,1.5293
20070331,4.0247,2.4377,1.587
20070430,4.1315,2.4722,1.6593
20070531,4.3692,2.5846,1.7846
20070630,4.5101,2.5676,1.9425
20070731,4.3567,2.5536,1.8031
20070831,4.3237,2.3089,2.0148
20070930,4.3793,2.2807,2.0986
20071031,4.2898,2.357,1.9328
20071130,4.2154,2.1297,2.0857
20071231,4.3766,2.2977,2.0789
20080131,4.0478,1.8442,2.2036
20080229,4.0621,1.6658,2.3963
20080331,4.1315,1.9231,2.2083
20080430,4.32,2.1118,2.2082
20080531,4.5211,2.3834,2.1377
20080630,4.7335,2.558,2.1756
20080731,4.5287,2.4308,2.0978
20080831,4.346,2.3253,2.0206
20080930,4.3386,1.8747,2.4639
20081031,4.2503,0.9863,3.264
20081130,3.7723,1.192,2.5803
20081231,3.688,0.9551,2.7328
20090131,4.0239,0.355,3.6689
20090228,3.8534,0.2054,3.648
20090331,3.7738,0.1751,3.5988
20090430,3.7868,0.2666,3.5202
20090531,4.1791,0.0274,4.1516
20090630,3.9872,0.1365,3.8507
20090731,3.7408,0.2531,3.4877
20090831,3.6792,0.3582,3.3209
20090930,3.635,0.2303,3.4047
20091031,3.6771,0.2771,3.4
20091130,3.5687,0.2493,3.3195
20091231,3.7585,0.2013,3.5572
20100131,3.662,0.12,3.542
20100228,3.4865,-0.0199,3.5064
20100331,3.4612,0.0561,3.4051
20100430,3.3968,0.1182,3.2786
20100531,2.996,0.0588,2.9372
20100630,3.0267,0.1211,2.9056
20100731,3.0093,0.2553,2.7541
20100831,2.4796,0.3992,2.0803
20100930,2.6733,0.4761,2.1972
20101031,2.8591,0.5181,2.341
20101130,3.1096,0.3843,2.7253
20101231,3.3633,0.2136,3.1497
20110131,3.4931,0.5418,2.9513
20110228,3.4894,0.5421,2.9473
20110331,3.6572,0.7335,2.9237
20110430,3.5535,0.8463,2.7072
20110531,3.3648,0.712,2.6528
20110630,3.4073,0.7009,2.7064
20110731,3.0579,0.5627,2.4952
20110831,2.7641,0.332,2.4321
20110930,2.4831,0.3864,2.0967
20111031,2.7887,0.245,2.5437
20111130,3.0726,0.1769,2.8957
20111231,2.6456,0.1852,2.4605
20120131,2.6674,0.0438,2.6236
20120229,2.5926,0.0897,2.5028
20120331,2.6008,0.0024,2.5983
20120430,2.4725,0.0197,2.4528
20120531,1.8887,0.2727,1.616
20120630,2.317,0.1058,2.2111
20120731,1.8732,0.0394,1.8338
20120831,1.9163,0.0533,1.863
20120930,1.941,-0.018,1.9589
20121031,1.9503,0.0038,1.9465
20121130,1.7955,0.0159,1.7796
20121231,1.7235,0.036,1.6875
20130131,2.0204,0.1721,1.8483
20130228,1.8804,0.0007,1.8798
20130331,1.7589,0.0207,1.7382
20130430,1.5496,0.1237,1.4259
20130531,1.8424,0.0515,1.7909
20130630,2.1373,0.1025,2.0348
20130731,1.9552,0.1089,1.8464
20130831,2.1741,0.095,2.0791
20130930,2.0552,0.073,1.9822
20131031,1.952,0.0297,1.9222
20131130,1.9871,0.0143,1.9728
20131231,2.242,0.0601,2.182
20140131,1.8954,0.0689,1.8265
20140228,1.8809,0.1194,1.7614
20140331,1.8226,0.1492,1.6734
20140430,1.7208,0.1838,1.5371
20140531,1.5577,0.1704,1.3874
20140630,1.438,0.188,1.25
20140731,1.3378,0.253,1.0848
20140831,1.0308,0.4217,0.6091
20140930,1.058,0.3297,0.7283
20141031,0.9629,0.4165,0.5464
20141130,0.8003,0.55,0.2503
20141231,0.6477,0.6163,0.0313
20150131,0.395,0.884,-0.489
20150228,0.3703,0.8621,-0.4918
20150331,0.2645,1.0079,-0.7434
20150430,0.4169,0.8469,-0.43
20150531,0.6099,0.7152,-0.1053
20150630,0.9537,0.4988,0.4549
20150731,0.7284,0.4998,0.2287
20150831,0.8197,0.4692,0.3506
20150930,0.7051,0.6221,0.083
20151031,0.6312,0.5746,0.0566
20151130,0.5817,0.4808,0.1008
20151231,0.7701,0.4389,0.3313
20160131,0.441,0.5373,-0.0963
20160229,0.2202,0.6001,-0.3799
20160331,0.2639,0.6338,-0.37
20160430,0.3442,0.5457,-0.2015
20160531,0.2232,0.5966,-0.3734
20160630,-0.1032,0.7566,-0.8598
20160731,-0.1506,0.7716,-0.9222
20160831,-0.1166,0.7344,-0.851
20160930,-0.1612,0.6818,-0.843
20161031,0.1433,0.5493,-0.4061
20161130,0.2755,0.4452,-0.1697
20161231,0.26,0.4581,-0.1981
20170131,0.4982,0.3929,0.1053
20170228,0.2537,0.3252,-0.0714
20170331,0.3828,0.3895,-0.0067
20170430,0.3831,0.3779,0.0052
20170531,0.363,0.3663,-0.0032
20170630,0.5417,0.4019,0.1398
20170731,0.578,0.3293,0.2487
20170831,0.3858,0.37,0.0158
20170930,0.5171,0.3243,0.1928
20171031,0.4393,0.31,0.1294
20171130,0.4377,0.3667,0.071
20171231,0.5221,0.3689,0.1532
20180131,0.7094,0.4241,0.2854
20180228,0.7088,0.3755,0.3333
20180331,0.5482,0.4211,0.1271
20180430,0.6284,0.4126,0.2159
20180531,0.4025,0.4295,-0.027
20180630,0.3791,0.444,-0.0649
20180731,0.4553,0.4769,-0.0216
20180831,0.3719,0.4861,-0.1142
20180930,0.5091,0.5059,0.0032
20181031,0.4341,0.4604,-0.0263
20181130,0.369,0.476,-0.107
20181231,0.3167,0.5141,-0.1975
20190131,0.1881,0.632,-0.4439
20190228,0.2286,0.6377,-0.4091
20190331,-0.0132,0.6937,-0.7069
20190430,0.0764,0.6646,-0.5881
20190531,-0.1311,0.7039,-0.8351
20190630,-0.2584,0.7449,-1.0032
20190731,-0.3903,0.7729,-1.1631
20190831,-0.6519,0.8333,-1.4852
20190930,-0.5207,0.8721,-1.3928
20191031,-0.3645,0.8722,-1.2367
20191130,-0.2972,0.8749,-1.1721
20191231,-0.1421,0.8084,-0.9504
20200131,-0.3983,0.9008,-1.2991
20200229,-0.5716,0.9269,-1.4986
20200331,-0.4136,0.8935,-1.3071
20200430,-0.4561,0.9749,-1.4309
20200531,-0.3582,0.9451,-1.3033
20200630,-0.4506,0.9302,-1.3808
20200731,-0.4928,0.948,-1.4408
20200831,-0.3703,0.9005,-1.2708
20200930,-0.4943,0.9674,-1.4617
20201031,-0.6028,0.9396,-1.5423
20201130,-0.5488,0.9528,-1.5016
20201231,-0.5702,0.9716,-1.5417
20210131,-0.5122,0.9116,-1.4238
20210228,-0.2456,0.8269,-1.0725
20210331,-0.2787,0.7686,-1.0473
20210430,-0.18,0.7176,-0.8976
20210531,-0.1464,0.7082,-0.8546
20210630,-0.2032,0.7518,-0.9551
20210731,-0.4397,0.8009,-1.2406
20210831,-0.3928,0.8225,-1.2153
20210930,-0.17,0.7302,-0.9002
20211031,-0.0686,0.8478,-0.9164
20211130,-0.3492,0.8445,-1.1937
20211231,-0.188,0.854,-1.042
20220131,0.0276,0.852,-0.8244
20220228,0.2146,0.7777,-0.5631
20220331,0.6192,0.8928,-0.2736
20220430,0.9407,0.9865,-0.0457
20220531,1.2201,0.9189,0.3012
20220630,1.4966,1.1981,0.2985
20220731,0.9291,1.0383,-0.1091
20220831,1.5722,1.4957,0.0765
20220930,2.1301,1.6636,0.4665
20221031,2.2362,1.9422,0.2939
20221130,1.9931,2.167,-0.1739
20221231,2.5555,2.2719,0.2836
