Date,Value,Source
2013-09-02,2.594,RBA F2 daily FCMYGBAG2D
2013-09-03,2.652,RBA F2 daily FCMYGBAG2D
2013-09-04,2.714,RBA F2 daily FCMYGBAG2D
2013-09-05,2.752,RBA F2 daily FCMYGBAG2D
2013-09-06,2.79,RBA F2 daily FCMYGBAG2D
2013-09-09,2.734,RBA F2 daily FCMYGBAG2D
2013-09-10,2.814,RBA F2 daily FCMYGBAG2D
2013-09-11,2.805,RBA F2 daily FCMYGBAG2D
2013-09-12,2.699,RBA F2 daily FCMYGBAG2D
2013-09-13,2.739,RBA F2 daily FCMYGBAG2D
2013-09-16,2.69,RBA F2 daily FCMYGBAG2D
2013-09-17,2.736,RBA F2 daily FCMYGBAG2D
2013-09-18,2.745,RBA F2 daily FCMYGBAG2D
2013-09-19,2.622,RBA F2 daily FCMYGBAG2D
2013-09-20,2.66,RBA F2 daily FCMYGBAG2D
2013-09-23,2.68,RBA F2 daily FCMYGBAG2D
2013-09-24,2.631,RBA F2 daily FCMYGBAG2D
2013-09-25,2.602,RBA F2 daily FCMYGBAG2D
2013-09-26,2.613,RBA F2 daily FCMYGBAG2D
2013-09-27,2.607,RBA F2 daily FCMYGBAG2D
2013-09-30,2.57,RBA F2 daily FCMYGBAG2D
2013-10-01,2.637,RBA F2 daily FCMYGBAG2D
2013-10-02,2.639,RBA F2 daily FCMYGBAG2D
2013-10-03,2.635,RBA F2 daily FCMYGBAG2D
2013-10-04,2.68,RBA F2 daily FCMYGBAG2D
2013-10-08,2.714,RBA F2 daily FCMYGBAG2D
2013-10-09,2.737,RBA F2 daily FCMYGBAG2D
2013-10-10,2.798,RBA F2 daily FCMYGBAG2D
2013-10-11,2.784,RBA F2 daily FCMYGBAG2D
2013-10-14,2.756,RBA F2 daily FCMYGBAG2D
2013-10-15,2.816,RBA F2 daily FCMYGBAG2D
2013-10-16,2.82,RBA F2 daily FCMYGBAG2D
2013-10-17,2.731,RBA F2 daily FCMYGBAG2D
2013-10-18,2.723,RBA F2 daily FCMYGBAG2D
2013-10-21,2.711,RBA F2 daily FCMYGBAG2D
2013-10-22,2.736,RBA F2 daily FCMYGBAG2D
2013-10-23,2.679,RBA F2 daily FCMYGBAG2D
2013-10-24,2.678,RBA F2 daily FCMYGBAG2D
2013-10-25,2.675,RBA F2 daily FCMYGBAG2D
2013-10-28,2.685,RBA F2 daily FCMYGBAG2D
2013-10-29,2.65,RBA F2 daily FCMYGBAG2D
2013-10-30,2.617,RBA F2 daily FCMYGBAG2D
2013-10-31,2.682,RBA F2 daily FCMYGBAG2D
2013-11-01,2.722,RBA F2 daily FCMYGBAG2D
2013-11-04,2.803,RBA F2 daily FCMYGBAG2D
2013-11-05,2.798,RBA F2 daily FCMYGBAG2D
2013-11-06,2.825,RBA F2 daily FCMYGBAG2D
2013-11-07,2.776,RBA F2 daily FCMYGBAG2D
2013-11-08,2.753,RBA F2 daily FCMYGBAG2D
2013-11-11,2.803,RBA F2 daily FCMYGBAG2D
2013-11-12,2.838,RBA F2 daily FCMYGBAG2D
2013-11-13,2.799,RBA F2 daily FCMYGBAG2D
2013-11-14,2.764,RBA F2 daily FCMYGBAG2D
2013-11-15,2.748,RBA F2 daily FCMYGBAG2D
2013-11-18,2.748,RBA F2 daily FCMYGBAG2D
2013-11-19,2.768,RBA F2 daily FCMYGBAG2D
2013-11-20,2.787,RBA F2 daily FCMYGBAG2D
2013-11-21,2.808,RBA F2 daily FCMYGBAG2D
2013-11-22,2.786,RBA F2 daily FCMYGBAG2D
2013-11-25,2.772,RBA F2 daily FCMYGBAG2D
2013-11-26,2.74,RBA F2 daily FCMYGBAG2D
2013-11-27,2.721,RBA F2 daily FCMYGBAG2D
2013-11-28,2.759,RBA F2 daily FCMYGBAG2D
2013-11-29,2.735,RBA F2 daily FCMYGBAG2D
2013-12-02,2.79,RBA F2 daily FCMYGBAG2D
2013-12-03,2.809,RBA F2 daily FCMYGBAG2D
2013-12-04,2.762,RBA F2 daily FCMYGBAG2D
2013-12-05,2.786,RBA F2 daily FCMYGBAG2D
2013-12-06,2.805,RBA F2 daily FCMYGBAG2D
2013-12-09,2.764,RBA F2 daily FCMYGBAG2D
2013-12-10,2.769,RBA F2 daily FCMYGBAG2D
2013-12-11,2.72,RBA F2 daily FCMYGBAG2D
2013-12-12,2.692,RBA F2 daily FCMYGBAG2D
2013-12-13,2.676,RBA F2 daily FCMYGBAG2D
2013-12-16,2.632,RBA F2 daily FCMYGBAG2D
2013-12-17,2.637,RBA F2 daily FCMYGBAG2D
2013-12-18,2.627,RBA F2 daily FCMYGBAG2D
2013-12-19,2.667,RBA F2 daily FCMYGBAG2D
2013-12-20,2.667,RBA F2 daily FCMYGBAG2D
2013-12-23,2.67,RBA F2 daily FCMYGBAG2D
2013-12-24,2.658,RBA F2 daily FCMYGBAG2D
2013-12-27,2.709,RBA F2 daily FCMYGBAG2D
2013-12-30,2.7,RBA F2 daily FCMYGBAG2D
2013-12-31,2.676,RBA F2 daily FCMYGBAG2D
2014-01-02,2.739,RBA F2 daily FCMYGBAG2D
2014-01-06,2.755,RBA F2 daily FCMYGBAG2D
2014-01-07,2.72,RBA F2 daily FCMYGBAG2D
2014-01-08,2.713,RBA F2 daily FCMYGBAG2D
2014-01-09,2.762,RBA F2 daily FCMYGBAG2D
2014-01-10,2.734,RBA F2 daily FCMYGBAG2D
2014-01-13,2.713,RBA F2 daily FCMYGBAG2D
2014-01-14,2.688,RBA F2 daily FCMYGBAG2D
2014-01-15,2.713,RBA F2 daily FCMYGBAG2D
2014-01-16,2.635,RBA F2 daily FCMYGBAG2D
2014-01-17,2.573,RBA F2 daily FCMYGBAG2D
2014-01-20,2.566,RBA F2 daily FCMYGBAG2D
2014-01-21,2.604,RBA F2 daily FCMYGBAG2D
2014-01-22,2.72,RBA F2 daily FCMYGBAG2D
2014-01-23,2.688,RBA F2 daily FCMYGBAG2D
2014-01-24,2.558,RBA F2 daily FCMYGBAG2D
2014-01-28,2.559,RBA F2 daily FCMYGBAG2D
2014-01-29,2.637,RBA F2 daily FCMYGBAG2D
2014-01-30,2.57,RBA F2 daily FCMYGBAG2D
2014-01-31,2.581,RBA F2 daily FCMYGBAG2D
