Date,Value
2018-01-03,1.33
2018-01-04,1.33
2018-01-05,1.34
2018-01-08,1.35
2018-01-09,1.36
2018-01-10,1.4
2018-01-11,1.42
2018-01-12,1.42
2018-01-15,1.44
2018-01-16,1.44
2018-01-17,1.42
2018-01-18,1.43
2018-01-19,1.47
2018-01-22,1.47
2018-01-23,1.46
2018-01-24,1.41
2018-01-25,1.43
2018-01-26,1.43
2018-01-29,1.43
2018-01-30,1.43
2018-01-31,1.4
2018-02-01,1.45
2018-02-02,1.45
2018-02-05,1.45
2018-02-07,1.41
2018-02-08,1.4
2018-02-09,1.42
2018-02-12,1.46
2018-02-13,1.45
2018-02-14,1.45
2018-02-15,1.5
2018-02-16,1.47
2018-02-19,1.47
2018-02-20,1.49
2018-02-21,1.47
2018-02-22,1.48
2018-02-23,1.48
2018-02-26,1.45
2018-02-27,1.47
2018-02-28,1.5
2018-03-01,1.5
2018-03-02,1.47
2018-03-05,1.47
2018-03-06,1.51
2018-03-07,1.5
2018-03-08,1.49
2018-03-09,1.45
2018-03-12,1.5
2018-03-13,1.47
2018-03-14,1.43
2018-03-15,1.38
2018-03-16,1.39
2018-03-19,1.39
2018-03-20,1.4
2018-03-21,1.4
2018-03-22,1.39
2018-03-23,1.35
2018-03-26,1.35
2018-03-27,1.35
2018-03-28,1.35
2018-03-29,1.37
2018-04-03,1.37
2018-04-04,1.38
2018-04-05,1.41
2018-04-06,1.41
2018-04-09,1.39
2018-04-10,1.39
2018-04-11,1.39
2018-04-12,1.38
2018-04-13,1.41
2018-04-16,1.41
2018-04-17,1.41
2018-04-18,1.4
2018-04-19,1.41
2018-04-20,1.39
2018-04-23,1.4
2018-04-24,1.39
2018-04-26,1.42
2018-04-27,1.4
2018-04-30,1.38
2018-05-01,1.36
2018-05-02,1.4
2018-05-03,1.38
2018-05-04,1.36
2018-05-07,1.35
2018-05-08,1.34
2018-05-09,1.35
2018-05-10,1.31
2018-05-11,1.28
2018-05-14,1.27
2018-05-15,1.31
2018-05-16,1.34
2018-05-17,1.36
2018-05-18,1.37
2018-05-21,1.34
2018-05-22,1.34
2018-05-23,1.32
2018-05-24,1.31
2018-05-25,1.32
2018-05-28,1.32
2018-05-29,1.3
2018-05-30,1.26
2018-05-31,1.28
2018-06-01,1.28
2018-06-05,1.33
2018-06-06,1.32
2018-06-07,1.38
2018-06-08,1.36
2018-06-11,1.36
2018-06-12,1.36
2018-06-13,1.36
2018-06-14,1.36
2018-06-15,1.31
2018-06-18,1.3
2018-06-19,1.27
2018-06-20,1.28
2018-06-21,1.28
2018-06-22,1.26
2018-06-25,1.25
2018-06-26,1.24
2018-06-27,1.24
2018-06-28,1.22
2018-06-29,1.22
2018-07-02,1.18
2018-07-03,1.15
2018-07-04,1.13
2018-07-05,1.14
2018-07-06,1.17
2018-07-09,1.17
2018-07-10,1.18
2018-07-11,1.18
2018-07-12,1.17
2018-07-13,1.16
2018-07-16,1.15
2018-07-17,1.18
2018-07-18,1.17
2018-07-19,1.16
2018-07-20,1.13
2018-07-23,1.15
2018-07-24,1.18
2018-07-25,1.17
2018-07-26,1.19
2018-07-27,1.19
2018-07-30,1.19
2018-07-31,1.22
2018-08-01,1.23
2018-08-02,1.24
2018-08-03,1.24
2018-08-06,1.22
2018-08-07,1.2
2018-08-08,1.2
2018-08-09,1.16
2018-08-10,1.09
2018-08-13,1.12
2018-08-14,1.13
2018-08-15,1.15
2018-08-16,1.15
2018-08-17,1.14
2018-08-20,1.09
2018-08-21,1.07
2018-08-22,1.09
2018-08-23,1.11
2018-08-24,1.11
2018-08-27,1.11
2018-08-28,1.13
2018-08-29,1.12
2018-08-30,1.07
2018-08-31,1.06
2018-09-03,1.06
2018-09-04,1.09
2018-09-05,1.11
2018-09-06,1.08
2018-09-07,1.08
2018-09-10,1.1
2018-09-11,1.06
2018-09-12,1.06
2018-09-13,1.03
2018-09-14,1.0
2018-09-17,1.01
2018-09-18,1.03
2018-09-19,1.06
2018-09-20,1.08
2018-09-21,1.1
2018-09-24,1.11
2018-09-25,1.11
2018-09-26,1.1
2018-09-27,1.07
2018-09-28,1.07
2018-10-01,1.06
2018-10-02,1.09
2018-10-03,1.1
2018-10-04,1.09
2018-10-05,1.05
2018-10-08,1.06
2018-10-09,1.04
2018-10-10,1.03
2018-10-11,1.04
2018-10-12,1.03
2018-10-15,1.0
2018-10-16,0.99
2018-10-17,1.0
2018-10-18,1.02
2018-10-19,1.03
2018-10-23,1.05
2018-10-24,1.02
2018-10-25,0.98
2018-10-26,1.0
2018-10-29,0.98
2018-10-30,0.98
2018-10-31,0.98
2018-11-01,1.01
2018-11-02,1.01
2018-11-05,1.03
2018-11-06,1.04
2018-11-07,1.07
2018-11-08,1.1
2018-11-09,1.12
2018-11-12,1.14
2018-11-13,1.11
2018-11-14,1.1
2018-11-15,1.08
2018-11-16,1.06
2018-11-19,1.06
2018-11-20,1.06
2018-11-21,1.09
2018-11-22,1.12
2018-11-23,1.11
2018-11-26,1.12
2018-11-27,1.13
2018-11-28,1.12
2018-11-29,1.12
2018-11-30,1.11
2018-12-03,1.13
2018-12-04,1.08
2018-12-05,1.06
2018-12-06,1.02
2018-12-07,1.0
2018-12-10,1.0
2018-12-11,1.01
2018-12-12,1.05
2018-12-13,1.05
2018-12-14,1.04
2018-12-17,1.04
2018-12-18,1.03
2018-12-19,1.02
2018-12-20,1.0
2018-12-21,1.06
2018-12-24,1.06
2018-12-27,1.07
2018-12-28,1.06
2018-12-31,1.05
2019-01-03,1.01
2019-01-04,1.06
2019-01-07,1.12
2019-01-08,1.12
2019-01-09,1.13
2019-01-10,1.06
2019-01-11,1.06
2019-01-14,1.04
2019-01-15,1.04
2019-01-16,1.05
2019-01-17,1.05
2019-01-18,1.07
2019-01-21,1.07
2019-01-22,1.07
2019-01-23,1.05
2019-01-24,1.05
2019-01-25,1.04
2019-01-28,1.04
2019-01-29,1.04
2019-01-30,1.03
2019-01-31,0.99
2019-02-01,0.98
2019-02-04,0.98
2019-02-05,1.0
2019-02-07,0.93
2019-02-08,0.9
2019-02-11,0.9
2019-02-12,0.89
2019-02-13,0.94
2019-02-14,0.98
2019-02-15,0.95
2019-02-18,0.96
2019-02-19,0.96
2019-02-20,0.95
2019-02-21,0.92
2019-02-22,0.9
2019-02-25,0.89
2019-02-26,0.89
2019-02-27,0.89
2019-02-28,0.89
2019-03-01,0.89
2019-03-04,0.91
2019-03-05,0.9
2019-03-06,0.89
2019-03-07,0.87
2019-03-08,0.86
2019-03-11,0.86
2019-03-12,0.86
2019-03-13,0.84
2019-03-14,0.83
2019-03-15,0.84
2019-03-18,0.84
2019-03-19,0.83
2019-03-20,0.82
2019-03-21,0.78
2019-03-22,0.77
2019-03-25,0.7
2019-03-26,0.69
2019-03-27,0.6
2019-03-28,0.6
2019-03-29,0.61
2019-04-01,0.65
2019-04-02,0.65
2019-04-03,0.68
2019-04-04,0.76
2019-04-05,0.73
2019-04-08,0.71
2019-04-09,0.74
2019-04-10,0.76
2019-04-11,0.76
2019-04-12,0.75
2019-04-15,0.79
2019-04-16,0.77
2019-04-17,0.74
2019-04-18,0.73
2019-04-23,0.72
2019-04-24,0.67
2019-04-26,0.68
2019-04-29,0.68
2019-04-30,0.69
2019-05-01,0.66
2019-05-02,0.69
2019-05-03,0.69
2019-05-06,0.68
2019-05-07,0.68
2019-05-08,0.63
2019-05-09,0.61
2019-05-10,0.59
2019-05-13,0.59
2019-05-14,0.63
2019-05-15,0.62
2019-05-16,0.6
2019-05-17,0.6
2019-05-20,0.61
2019-05-21,0.61
2019-05-22,0.6
2019-05-23,0.59
2019-05-24,0.57
2019-05-27,0.57
2019-05-28,0.57
2019-05-29,0.56
2019-05-30,0.58
2019-05-31,0.55
