# QUALITY=CLEAN | XAU ~ const+be+slope+log_nfa | Kalman TVP δ=0.995 | IC4w=0.1702 IC8w=0.2479 hit8w=0.5235 | var_ratio=2.402 HL=267.9w | cot_as_of=20260623 | generated by metals_fairvalue_g8.py v3
DATE,PX,FAIR,RESID,MDP_Z,MDP_ADJ,RISK_W,COT_MULT,SIGNAL,B_CONST,B_BE,B_SLOPE,B_LOG_NFA
20061219,625.4,601.891,0.038271,,,0.1123,1.0,,-90.660723,0.614473,-0.024294,5.864778
20061226,626.9,598.0993,0.046986,,,0.1121,1.0,,-90.552787,0.608103,-0.026952,5.859046
20070102,638.0,634.6238,0.005262,,,0.1118,1.0,,-90.619444,0.608114,-0.027277,5.863226
20070109,615.0,637.0039,-0.035198,,,0.1119,1.0,,-90.379828,0.610208,-0.02541,5.847851
20070116,625.9,627.9009,-0.003236,,,0.1117,1.0,,-90.374459,0.610505,-0.025284,5.847465
20070123,645.9,663.7313,-0.027277,,,0.1114,1.0,,-89.814195,0.607552,-0.024024,5.81277
20070130,650.2,695.6351,-0.06759,,,0.1119,1.0,,-87.59528,0.590171,-0.021149,5.67628
20070206,658.7,676.3234,-0.026448,,,0.1137,1.0,,-86.914342,0.585867,-0.019804,5.634242
20070213,668.5,675.1443,-0.009935,,,0.1148,1.0,,-86.67049,0.584397,-0.019348,5.619176
20070220,661.0,671.3864,-0.015635,,,0.1158,1.0,,-86.244148,0.582345,-0.018252,5.592767
20070227,687.2,694.9105,-0.011202,,,0.117,1.0,,-85.763409,0.579228,-0.017082,5.563124
20070306,646.2,711.7856,-0.096712,,,0.1207,1.0,,-81.594635,0.553217,-0.008385,5.305903
20070313,649.4,710.6028,-0.090109,,,0.1246,1.0,,-78.353822,0.531882,-0.001662,5.10613
20070320,659.0,712.7734,-0.078484,,,0.1282,1.0,,-75.752408,0.512368,0.002758,4.946126
20070327,662.5,730.3642,-0.097567,,,0.132,1.0,,-72.288552,0.482368,0.00707,4.73368
20070403,669.7,718.3162,-0.070124,,,0.1376,1.0,,-70.427824,0.467337,0.009007,4.619379
20070410,681.5,731.1247,-0.070332,,,0.1412,1.0,,-68.42339,0.449979,0.010868,4.496437
20070417,692.5,682.3507,0.014721,,,0.1461,1.0,,-68.691736,0.452019,0.010574,4.512942
20070424,687.7,681.7803,0.008602,,,0.148,1.0,,-68.860071,0.453375,0.010359,4.523283
20070501,677.3,683.8485,-0.009665,,,0.1502,1.0,,-68.654091,0.451579,0.010643,4.510651
20070508,687.4,653.9008,0.049917,,,0.1529,1.0,,-69.315461,0.455284,0.0094,4.551536
20070515,674.5,640.0651,0.052359,,,0.1536,1.0,,-69.830351,0.45723,0.008168,4.583514
20070522,659.9,647.5081,0.018914,,,0.1539,1.0,,-70.023216,0.458198,0.008052,4.595464
20070529,657.2,644.8035,0.019,,,0.1541,1.0,,-70.219285,0.459047,0.007909,4.607632
20070605,675.1,663.6457,0.017069,,,0.1544,1.0,,-70.495427,0.461107,0.008113,4.624638
20070612,653.1,692.2179,-0.058214,,,0.1556,1.0,,-69.312306,0.449907,0.00615,4.552126
20070619,664.7,667.0535,-0.003578,,,0.1576,1.0,,-69.257686,0.449399,0.006076,4.548776
20070626,645.3,661.9054,-0.02545,,,0.1587,1.0,,-68.913471,0.446504,0.005614,4.527618
20070703,655.4,661.0989,-0.008701,,,0.1593,1.0,,-68.771947,0.445549,0.005517,4.518887
20070710,664.4,665.7154,-0.00202,,,0.1604,1.0,,-68.731472,0.445238,0.005502,4.516397
20070717,665.9,651.5134,0.021799,,,0.1623,1.0,,-69.094914,0.447279,0.005714,4.538878
20070724,684.8,653.9693,0.046024,,,0.1633,1.0,,-70.036874,0.453153,0.005369,4.597019
20070731,679.3,669.9879,0.013761,,,0.1651,1.0,,-70.330428,0.454682,0.004887,4.615173
20070807,682.3,652.1555,0.045144,,,0.1672,1.0,,-70.950926,0.45359,0.003442,4.654206
