delta,var_ratio,ljung_p,halflife,ic_4w,hit_4w,ic_8w,hit_8w,ic_12w,hit_12w,score
0.999,0.24269245192120606,0.0,55.92812195469625,0.0277,0.4955,0.0678,0.5045,0.0932,0.5193,0.0478
0.995,0.26861569820636944,0.0,64.04252181132416,-0.0224,0.4628,-0.0036,0.4672,0.0089,0.4705,-0.013
0.99,0.1555273381966849,0.0,33.606822899405714,-0.0179,0.4685,0.0042,0.4683,0.0277,0.4739,-0.0069
0.985,0.13066296590277518,0.0,24.98009329875912,0.0246,0.5101,0.056,0.4955,0.0879,0.5125,0.0403
0.98,0.12153745892183575,0.0,23.158059898494876,0.0287,0.509,0.0672,0.5034,0.1075,0.5205,0.0479
