# OFFICIAL_GOLD_DEMAND — central-bank gold holdings proxy (structural demand driver, §06)
# CUM_TONNES = approx total official gold holdings = ~30,500t base (end-2005) + cumulative
# WGC annual net purchases. Source: World Gold Council central-bank net purchases (tonnes).
# 2014-2024 are WGC figures; pre-2014 use widely-cited net sales/purchases (CBGA era);
# 2025-2026 are estimates — refresh from gold.org/goldhub quarterly. Year-end dates;
# metals_fairvalue_g8.py forward-fills as-of the COT Tuesday. Only the shape matters
# (log level), and the walk-forward gate decides whether it improves the OOS signal.
DATE,CUM_TONNES
2005-12-31,30500.0
2006-12-31,30135.0
2007-12-31,29651.0
2008-12-31,29416.0
2009-12-31,29382.0
2010-12-31,29461.0
2011-12-31,29942.0
2012-12-31,30511.0
2013-12-31,31140.0
2014-12-31,31741.2
2015-12-31,32320.8
2016-12-31,32715.7
2017-12-31,33094.3
2018-12-31,33750.5
2019-12-31,34355.9
2020-12-31,34610.8
2021-12-31,35060.9
2022-12-31,36140.9
2023-12-31,37191.7
2024-12-31,38281.1
2025-12-31,39281.1
2026-08-31,39881.1
