# QUALITY=PROXY_THIN_MARKET | Indexed AGS (RBA; thin linker market) | generated by real_yields_g8.py
DATE,NOM10,REAL10,BE10
20141120,3.309,0.96,2.349
20141121,3.298,0.949,2.349
20141124,3.288,0.935,2.353
20141125,3.234,0.849,2.385
20141126,3.166,0.787,2.379
20141127,3.145,0.776,2.369
20141128,3.066,0.722,2.344
20141201,3.036,0.709,2.327
20141202,3.151,0.811,2.34
20141203,3.143,0.826,2.317
20141204,3.113,0.799,2.314
20141205,3.084,0.785,2.299
20141208,3.131,0.822,2.309
20141209,3.073,0.781,2.292
20141210,2.972,0.687,2.285
20141211,2.902,0.64,2.262
20141212,2.938,0.669,2.269
20141215,2.932,0.678,2.254
20141216,2.902,0.682,2.22
20141217,2.821,0.625,2.196
20141218,2.89,0.669,2.221
20141219,2.983,0.745,2.238
20141222,2.9,0.647,2.253
20141223,2.876,0.611,2.265
20150102,2.846,0.576,2.27
20150105,2.735,0.482,2.253
20150106,2.689,0.474,2.215
20150107,2.66,0.475,2.185
20150108,2.711,0.527,2.184
20150109,2.702,0.499,2.203
20150112,2.673,0.448,2.225
20150113,2.595,0.381,2.214
20150114,2.552,0.319,2.233
20150115,2.658,0.382,2.276
20150116,2.543,0.326,2.217
20150119,2.616,0.379,2.237
20150120,2.65,0.412,2.238
20150121,2.581,0.396,2.185
20150122,2.586,0.427,2.159
20150123,2.619,0.447,2.172
20150127,2.549,0.381,2.168
20150128,2.589,0.418,2.171
20150129,2.468,0.345,2.123
20150130,2.427,0.356,2.071
20150202,2.429,0.354,2.075
20150203,2.266,0.188,2.078
20150204,2.452,0.313,2.139
20150205,2.387,0.286,2.101
20150206,2.438,0.303,2.135
20150209,2.532,0.369,2.163
20150210,2.537,0.337,2.2
20150211,2.574,0.374,2.2
20150212,2.52,0.34,2.18
20150213,2.488,0.303,2.185
20150216,2.541,0.331,2.21
20150217,2.514,0.273,2.241
20150218,2.588,0.311,2.277
20150219,2.532,0.26,2.272
20150220,2.554,0.259,2.295
20150223,2.568,0.248,2.32
20150224,2.531,0.215,2.316
