delta,var_ratio,ljung_p,halflife,ic_4w,hit_4w,ic_8w,hit_8w,ic_12w,hit_12w,score
0.999,5.3829274678697026,0.0,961.7342960789924,-0.0011,0.4868,-0.0077,0.4855,-0.0065,0.4739,-0.0044
0.995,2.3173948846788806,0.0,276.38205536379456,0.1628,0.4971,0.2393,0.5237,0.2963,0.5122,0.2011
0.99,1.1586392980341575,0.0,80.74329348626868,-0.1056,0.4879,-0.1092,0.5029,-0.1068,0.5006,-0.1074
0.985,0.5928748571364995,0.0,44.04138733698614,-0.1085,0.4626,-0.135,0.4543,-0.1463,0.4472,-0.1217
0.98,0.31056241329045164,0.0,25.001480897082825,-0.0646,0.4891,-0.0852,0.4751,-0.0953,0.4797,-0.0749
