,f,f_cum5,f_z5,f_cum21,f_z21,f_cum63,f_z63,I_level,f_invvol,corr63_f_invvol,r_EUR,beta_EUR,beta_loo_EUR,dbeta21_EUR,eps_EUR,E5_EUR,E21_EUR,E63_EUR,z21_EUR,beta_ols252_EUR,pc1_EUR,r_GBP,beta_GBP,beta_loo_GBP,dbeta21_GBP,eps_GBP,E5_GBP,E21_GBP,E63_GBP,z21_GBP,beta_ols252_GBP,pc1_GBP,r_JPY,beta_JPY,beta_loo_JPY,dbeta21_JPY,eps_JPY,E5_JPY,E21_JPY,E63_JPY,z21_JPY,beta_ols252_JPY,pc1_JPY,r_CHF,beta_CHF,beta_loo_CHF,dbeta21_CHF,eps_CHF,E5_CHF,E21_CHF,E63_CHF,z21_CHF,beta_ols252_CHF,pc1_CHF,r_CAD,beta_CAD,beta_loo_CAD,dbeta21_CAD,eps_CAD,E5_CAD,E21_CAD,E63_CAD,z21_CAD,beta_ols252_CAD,pc1_CAD,r_AUD,beta_AUD,beta_loo_AUD,dbeta21_AUD,eps_AUD,E5_AUD,E21_AUD,E63_AUD,z21_AUD,beta_ols252_AUD,pc1_AUD,r_NZD,beta_NZD,beta_loo_NZD,dbeta21_NZD,eps_NZD,E5_NZD,E21_NZD,E63_NZD,z21_NZD,beta_ols252_NZD,pc1_NZD,rank_EUR,rank_GBP,rank_JPY,rank_CHF,rank_CAD,rank_AUD,rank_NZD,D,D_mad,one_name_share,one_name_ccy,D_pct,band,S_pc1,eig_gap,pc1_rotation_cos21,loo_corr_min,desfase_us
1999-01-05,-0.006141590741,,,,,,,0.9938772303,,,8.482123929e-05,,,,,,,,,,-0.196601768,-0.001460882715,,,,,,,,,,-0.1113786703,0.02101573006,,,,,,,,,,-0.8256563591,0.002871977359,,,,,,,,,,-0.2416494753,0.002253356104,,,,,,,,,,-0.0513216302,0.00828589759,,,,,,,,,,-0.2778431047,0.009940235548,,,,,,,,,,-0.3591781506,,,,,,,,,,,,,,0.4466085574,5.29086021e-05,,,False
1999-01-06,-0.0002522814486,,,,,,,0.9936265251,-0.0009430032636,,-0.003994396166,0.839584309,0.5828489399,,-0.004206207712,,,,,,-0.2072363992,0.002485412392,0.5325422941,0.315257963,,0.00235106185,,,,,,-0.1113851055,-0.007500764573,2.062975949,1.476506907,,-0.008021215134,,,,,,-0.8310632704,-0.003560139514,1.003050961,0.645177641,,-0.003813190663,,,,,,-0.2529017419,0.01024510892,0.3762936124,0.08245560275,,0.01015017703,,,,,,-0.0287542303,0.002572728378,1.004277684,0.6421705762,,0.002319367749,,,,,,-0.2624105741,0.001518020699,1.181275191,0.9100580139,,0.001220006883,,,,,,-0.3468931644,,,,,,,,,,,,,,0.4413979111,5.01845951e-05,,0.8918742075,False
1999-01-07,0.001502567727,,,,,,,0.9951206385,0.00242387838,,-0.009497397592,0.8373637296,0.5744827592,,-0.008239201876,,,,,,-0.1814513439,-0.007021185636,0.533783488,0.3147279986,,-0.006219139794,,,,,,-0.09429436066,0.005760709424,2.058741316,1.43573175,,0.008854107684,,,,,,-0.8339805599,-0.01253324144,1.001037867,0.6378963775,,-0.01102911425,,,,,,-0.2210570789,-0.003324014069,0.381652186,0.05841299757,,-0.002750555811,,,,,,-0.03531242715,0.009058398395,1.005502145,0.6414600553,,0.01056923347,,,,,,-0.284113872,0.007038756827,1.181919268,0.910188345,,0.008814670575,,,,,,-0.3630792162,,,,,,,,,,,,,,0.4237302098,3.936723982e-05,,0.8890327502,False
1999-01-08,-0.001136034655,,,,,,,0.9939907889,-0.001105035015,,0.00231849316,0.8639420527,0.5776366701,,0.001337025048,,,,,,-0.1819343908,-0.002698298849,0.5538454199,0.3219198714,,-0.00332748644,,,,,,-0.09372034705,-0.002767830999,2.030179407,1.364295612,,-0.005074185162,,,,,,-0.8329890477,0.003990164911,1.036615993,0.6291378281,,0.002812533219,,,,,,-0.2218972501,-8.079034318e-06,0.390525031,0.06500104609,,-0.0004517290032,,,,,,-0.03553093458,0.006006132914,0.9714075198,0.5685110464,,0.004902580307,,,,,,-0.2856527666,0.001111660485,1.153484577,0.8489888071,,-0.0001987379686,,,,,,-0.3635206739,,,,,,,,,,,,,,0.4208602922,3.819811779e-05,,0.8802299851,False
1999-01-11,-0.00334617279,-0.009373511907,,,,,,0.9906702825,-0.001982106457,,-0.007749306904,0.8672942457,0.5810220704,,-0.01065142331,,,,,,-0.07162242723,-0.0006761411869,0.5455027365,0.311184116,,-0.002501487601,,,,,,-0.04748291196,0.02157968087,2.017457396,1.338383655,,0.01482891982,,,,,,-0.8517207376,-0.005640255816,1.043667584,0.6341113979,,-0.009132547887,,,,,,-0.1057411079,0.002505440284,0.3893924547,0.06478387825,,0.001202465847,,,,,,-0.06914793543,0.007138762288,0.983699283,0.5724132952,,0.003847134514,,,,,,-0.3257584171,0.006265029996,1.1529863,0.8493519339,,0.002406938611,,,,,,-0.3809281046,,,,,,,,,,,,,,0.4359881404,4.675890084e-05,,0.8787627965,False
1999-01-12,0.006844332427,0.003612411261,,,,,,0.9974740162,0.005406716085,,-0.004244451779,0.7882160285,0.4702042073,,0.001150360744,-0.02060944711,,,,,-0.1087045855,-0.007362810082,0.526931211,0.2968725888,,-0.003756317708,-0.01345336969,,,,,-0.09775731437,-0.03003115955,2.127550151,1.357060299,,-0.01546949906,-0.004881871844,,,,,-0.895616889,-0.002255390954,0.9758657905,0.5468945154,,0.00442375892,-0.01673856066,,,,,-0.1308812948,-0.0001704252002,0.3983197927,0.07870038245,,0.002555807873,0.01070616593,,,,,-0.03795727218,-0.001815121962,1.01226115,0.6042092421,,0.005113129853,0.02675144589,,,,,-0.2518001383,-0.002030967465,1.170855876,0.8739539351,,0.005982759374,0.01822563747,,,,,-0.3074463064,,,,,,,,,,,,,,0.4702912942,6.86673722e-05,,0.8607002567,False
1999-01-13,-0.004124956032,-0.0002602633223,,,,,,0.9933679542,-0.004410578808,,0.0192578166,0.7719497616,0.4812346686,,0.01607355778,-0.0003296816141,,,,,-0.2895107804,0.01671364562,0.5800460853,0.3603803572,,0.01432098102,-0.00148345052,,,,,-0.2256788414,0.001973813379,2.3462911,1.580431939,,-0.007704534247,-0.004565190957,,,,,-0.8190964929,0.02806954753,0.9133132011,0.5193861712,,0.02430217073,0.01137680073,,,,,-0.3651052196,-0.02191370284,0.3621803006,0.07282530362,,-0.02340768066,-0.02285169175,,,,,0.1242971643,-0.009619155837,0.9399607564,0.5625641468,,-0.01349645263,0.01093562551,,,,,-0.09806808607,-0.005607272228,1.086258795,0.8015097324,,-0.010088042,0.006917588595,,,,,-0.1896432122,,,,,,,,,,,,,,0.4054811662,1.496465745e-05,,0.8546343988,False
1999-01-14,0.001750604231,-1.222681829e-05,,,,,,0.9951084714,0.000835005545,,-0.007778814281,0.9082265679,0.5372533061,,-0.006188869008,0.001720651253,,,,,-0.3714283384,-0.004668391867,0.7014639807,0.4185403354,,-0.003440406054,0.00129528322,,,,,-0.2761837928,-0.01420290016,2.280969574,1.516119851,,-0.01020982517,-0.02362912381,,,,,-0.7031417186,-0.007967108648,1.119354842,0.5267328844,,-0.006007561326,0.01639835365,,,,,-0.4634113385,0.01544299392,0.1637224354,-0.2116572785,,0.01572960711,-0.004371528832,,,,,0.2603912464,0.006664408692,0.8255334786,0.4074065911,,0.008109591092,0.008475983138,,,,,0.03845492367,0.0002555827267,1.000729122,0.6862584631,,0.002007463362,0.0001103813816,,,,,-0.08557321155,,,,,,,,,,,,,,0.4190542864,2.555325801e-05,,0.831576527,False
1999-01-15,0.002296840928,0.003420648765,,,,,,0.9973967041,0.002567068067,,-0.002319688312,0.9310356107,0.5479679604,,-0.0001812476156,0.0002023785896,,,,,-0.3692387653,0.0009424945682,0.7141435784,0.4281976748,,0.002582768768,0.007205538428,,,,,-0.2759984105,0.005242356193,2.318597829,1.502317717,,0.01056780658,-0.00798713207,,,,,-0.7056114466,-0.00545271926,1.141495676,0.5376547105,,-0.002830885272,0.01075493516,,,,,-0.4595003733,-0.007389550456,0.1057510546,-0.3110912263,,-0.007146657105,-0.01106645693,,,,,0.2641578343,-0.00422491738,0.7956456251,0.3610358911,,-0.002397445943,0.001175956887,,,,,0.04100815223,-0.002875861852,0.9933306266,0.6792031761,,-0.000594339414,-0.0002852200639,,,,,-0.08365688823,,,,,,,,,,,,,,0.4149473761,2.496454027e-05,,0.8304621767,False
1999-01-18,0.00130380719,0.008070628745,,,,,,0.9986979652,0.0006636313096,,-0.001204923117,0.9319289058,0.5528101171,,1.013249151e-05,0.01086393439,,,,,-0.3534894197,0.002495621954,0.7014141714,0.4167314797,,0.003410130794,0.01311715682,,,,,-0.2588719493,-0.009971605623,2.266513448,1.394295291,,-0.007016509093,-0.02983256099,,,,,-0.7323663211,-0.002455392206,1.155447947,0.5540932025,,-0.0009489108637,0.01893857219,,,,,-0.4411367273,0.003300350033,0.1409739938,-0.2937196766,,0.003484152939,-0.008784769842,,,,,0.2548178449,0.004029549031,0.807461652,0.3741697481,,0.005082323339,0.002411145712,,,,,0.03348238569,-0.005320250405,0.9962598816,0.6854284223,,-0.004021319608,-0.006713478283,,,,,-0.1049537962,,,,,,,,,,,,,,0.4165856847,2.650326674e-05,,0.8279366825,False
