session,root,symbol,expiry,settle,settle_flag,oi,volume
2026-09-03,6B,6BU6,2026-09-14,1.353800000,3,,
2026-09-03,6B,6BV6,2026-10-19,1.353900000,3,,
2026-09-03,6B,6BX6,2026-11-16,1.353900000,3,,
2026-09-03,6B,6BZ6,2026-12-14,1.353800000,3,,
2026-09-03,6B,6BF7,2027-01-15,1.353800000,3,,
2026-09-03,6B,6BG7,2027-02-12,1.353800000,3,,
2026-09-03,6B,6BH7,2027-03-15,1.353700000,3,,
2026-09-03,6B,6BJ7,2027-04-19,1.353600000,3,,
2026-09-03,6B,6BK7,2027-05-17,1.353500000,3,,
2026-09-03,6B,6BM7,2027-06-14,1.353400000,3,,
2026-09-03,6B,6BN7,2027-07-19,1.353200000,3,,
2026-09-03,6B,6BQ7,2027-08-16,1.353100000,3,,
2026-09-03,6B,6BU7,2027-09-13,1.352900000,3,,
2026-09-03,6B,6BV7,2027-10-18,1.352700000,3,,
2026-09-03,6B,6BX7,2027-11-15,1.352600000,3,,
2026-09-03,6B,6BZ7,2027-12-13,1.352400000,3,,
2026-09-03,6B,6BF8,2028-01-14,1.352200000,3,,
2026-09-03,6B,6BG8,2028-02-14,1.352000000,3,,
2026-09-03,6B,6BH8,2028-03-13,1.351900000,3,,
2026-09-03,6B,6BJ8,2028-04-17,1.351700000,3,,
2026-09-03,6B,6BK8,2028-05-15,1.351500000,3,,
2026-09-03,6B,6BM8,2028-06-16,1.351300000,3,,
2026-09-03,6B,6BN8,2028-07-17,1.351100000,3,,
2026-09-03,6B,6BQ8,2028-08-14,1.351000000,3,,
2026-09-03,6B,6BU8,2028-09-18,1.350700000,3,,
2026-09-03,6B,6BZ8,2028-12-18,1.350100000,3,,
2026-09-03,6B,6BH9,2029-03-19,1.349500000,3,,
2026-09-03,6B,6BM9,2029-06-15,1.348800000,3,,
2026-09-03,6B,6BU9,2029-09-17,1.348200000,3,,
2026-09-03,6B,6BZ9,2029-12-17,1.347500000,3,,
2026-09-03,6B,6BH0,2030-03-18,1.346900000,3,,
2026-09-03,6B,6BM0,2030-06-17,1.346300000,3,,
2026-09-03,6B,6BU0,2030-09-16,1.345600000,3,,
2026-09-03,6B,6BZ0,2030-12-16,1.345000000,3,,
2026-09-03,6B,6BH1,2031-03-17,1.344300000,3,,
2026-09-03,6B,6BM1,2031-06-16,1.343700000,3,,
