session,root,symbol,expiry,settle,settle_flag,oi,volume
,DX,DX  FMM0025!,2025-06-16,97.702000000,0,7560,264
,DX,DX  FMN0025!,2025-07-03,96.822000000,0,0,0
,DX,DX  FMQ0025!,2025-08-08,98.009000000,0,0,0
,DX,DX  FMU0025!,2025-09-15,97.448000000,0,9485,53
,DX,DX  FMV0025!,2025-10-03,97.415000000,0,0,0
,DX,DX  FMX0025!,2025-11-07,99.471000000,0,0,0
,DX,DX  FMZ0025!,2025-12-15,98.168000000,0,16115,266
,DX,DX  FMF0026!,2026-01-09,98.890000000,0,0,0
,DX,DX  FMG0026!,2026-02-06,97.506000000,0,0,0
,DX,DX  FMH0026!,2026-03-16,99.835000000,0,9822,79
,DX,DX  FMJ0026!,2026-04-02,99.855000000,0,0,0
,DX,DX  FMK0026!,2026-05-08,97.784000000,0,0,0
,DX,DX  FMM0026!,2026-06-15,99.474000000,0,14167,411
,DX,DX  FMN0026!,2026-07-02,100.621000000,0,0,0
,DX,DX  FMQ0026!,2026-08-07,99.423000000,0,0,0
,DX,DX  FMU0026!,2026-09-14,98.880000000,0,44438,2393
,DX,DX  FMV0026!,2026-10-09,98.622000000,0,0,0
,DX,DX  FMX0026!,2026-11-06,98.622000000,0,0,0
,DX,DX  FMZ0026!,2026-12-14,98.622000000,0,5801,358
,DX,DX  FMH0027!,2027-03-15,98.397000000,0,30,0
,DX,DX  FMM0027!,2027-06-14,98.197000000,0,0,0
2025-05-30,DX,DX  FMM0025!,2025-06-16,,,26340,
2025-05-30,DX,DX  FMU0025!,2025-09-15,,,1125,
2025-05-30,DX,DX  FMZ0025!,2025-12-15,,,33,
2025-06-02,DX,DX  FMM0025!,2025-06-16,98.635000000,1,27724,
2025-06-02,DX,DX  FMN0025!,2025-07-03,98.240000000,1,,
2025-06-02,DX,DX  FMQ0025!,2025-08-08,98.240000000,1,,
2025-06-02,DX,DX  FMU0025!,2025-09-15,98.240000000,1,1277,
2025-06-02,DX,DX  FMZ0025!,2025-12-15,97.900000000,1,33,
2025-06-02,DX,DX  FMH0026!,2026-03-16,97.560000000,1,,
2025-06-03,DX,DX  FMM0025!,2025-06-16,99.159000000,1,26535,
2025-06-03,DX,DX  FMN0025!,2025-07-03,98.749000000,1,,
