session,root,symbol,expiry,settle,settle_flag,oi,volume
2026-09-03,6C,6CU6,2026-09-15,0.725600000,3,,
2026-09-03,6C,6CV6,2026-10-20,0.726800000,3,,
2026-09-03,6C,6CX6,2026-11-17,0.727700000,3,,
2026-09-03,6C,6CZ6,2026-12-15,0.728600000,3,,
2026-09-03,6C,6CF7,2027-01-19,0.729750000,3,,
2026-09-03,6C,6CG7,2027-02-16,0.730650000,3,,
2026-09-03,6C,6CH7,2027-03-16,0.731500000,3,,
2026-09-03,6C,6CJ7,2027-04-20,0.732500000,3,,
2026-09-03,6C,6CK7,2027-05-18,0.733300000,3,,
2026-09-03,6C,6CM7,2027-06-15,0.734050000,3,,
2026-09-03,6C,6CN7,2027-07-20,0.734950000,3,,
2026-09-03,6C,6CQ7,2027-08-17,0.735700000,3,,
2026-09-03,6C,6CU7,2027-09-14,0.736400000,3,,
2026-09-03,6C,6CV7,2027-10-19,0.737100000,3,,
2026-09-03,6C,6CX7,2027-11-16,0.737700000,3,,
2026-09-03,6C,6CZ7,2027-12-14,0.738300000,3,,
2026-09-03,6C,6CF8,2028-01-18,0.739000000,3,,
2026-09-03,6C,6CG8,2028-02-15,0.739600000,3,,
2026-09-03,6C,6CH8,2028-03-14,0.740200000,3,,
2026-09-03,6C,6CJ8,2028-04-18,0.740900000,3,,
2026-09-03,6C,6CK8,2028-05-16,0.741500000,3,,
2026-09-03,6C,6CM8,2028-06-20,0.742250000,3,,
2026-09-03,6C,6CN8,2028-07-18,0.742850000,3,,
2026-09-03,6C,6CQ8,2028-08-15,0.743450000,3,,
2026-09-03,6C,6CU8,2028-09-19,0.744100000,3,,
2026-09-03,6C,6CZ8,2028-12-19,0.745700000,3,,
2026-09-03,6C,6CH9,2029-03-20,0.747250000,3,,
2026-09-03,6C,6CM9,2029-06-18,0.748850000,3,,
2026-09-03,6C,6CU9,2029-09-18,0.750450000,3,,
2026-09-03,6C,6CZ9,2029-12-18,0.752050000,3,,
2026-09-03,6C,6CH0,2030-03-19,0.753650000,3,,
2026-09-03,6C,6CM0,2030-06-18,0.755250000,3,,
2026-09-03,6C,6CU0,2030-09-17,0.756850000,3,,
2026-09-03,6C,6CZ0,2030-12-17,0.758450000,3,,
2026-09-03,6C,6CH1,2031-03-18,0.760100000,3,,
2026-09-03,6C,6CM1,2031-06-17,0.761750000,3,,
