job,status,max_silence_h,note
*,ACTIVE,96,Valor por defecto: el Daily corre de lunes a viernes; 96 h cubren el fin de semana. PROVISIONAL.
job_daily,ACTIVE,96,Registro de plazos del Daily (actions__job_daily.json).
